reason,uuid,survivor_uuid,kind,net_code,net,layer_or_span,width_or_size_mm,start_or_position_mm,end_mm,drill_mm,locked
exact_duplicate,c22454d8-a9c5-4f2e-ad6e-f67a19dbbe09,98a43934-80ec-4cc8-8ef4-862fd82067bf,segment,180,VREF_FILTER,In3.Cu,0.6,"[84.7, 54.3]","[84.7, 54.4]",,False
exact_duplicate,c23d4811-2703-46a4-b859-ed08c181451b,b0f7cadb-5f6e-4aa6-9f18-3b820527e3a4,segment,170,TRANS_EPC,B.Cu,1.2,"[75.5, 41.2]","[76.3, 41.2]",,False
exact_duplicate,c29f53b2-66f3-4d57-9db0-4785f8f7ece4,8f3f839c-0cdf-4bca-80b2-ccfeeb7e6217,segment,94,INJECTOR_8,In3.Cu,2.0,"[42.0, 79.7]","[42.0, 79.6]",,False
exact_duplicate,c2cf2edd-29c2-410a-80fe-4ac58b08fbe7,1723bfc7-a37c-4104-ab90-458e465d80fc,segment,83,IAC,F.Cu,1.2,"[37.2, 38.7]","[37.3, 38.7]",,False
exact_duplicate,c383f9ac-2a6a-47a7-8310-34958f480181,722deae7-1694-4c54-9e45-f57f6fb7affa,segment,87,INJECTOR_1,In1.Cu,2.0,"[36.9, 114.7]","[36.8, 114.8]",,False
exact_duplicate,c4381e18-4cbd-4d21-b5f4-37ac2f0dfef2,aaace776-60e8-47dd-b37b-fb661c5e596d,segment,170,TRANS_EPC,B.Cu,1.2,"[87.3, 35.8]","[83.6, 35.8]",,False
exact_duplicate,c641e9ca-6f8a-4977-834e-8fb57aac42ac,21a87c6c-1238-42b0-bf72-ff38a46fade6,segment,170,TRANS_EPC,B.Cu,1.2,"[76.4, 41.1]","[76.3, 41.2]",,False
exact_duplicate,c7f29872-2032-49a1-a29e-352a0d5247f3,6369dd55-4054-4636-9950-6ec6843c0487,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.1, 127.9]","[32.0, 127.8]",,False
exact_duplicate,c8fc81db-cb7b-4091-9c23-7a7462edc1be,bbb90876-1d9f-400d-95ce-9df70b95bad0,segment,177,VDDA_5,F.Cu,0.6,"[95.2, 43.3]","[95.1, 43.2]",,False
exact_duplicate,c9153103-81a7-423c-b87d-f3326dd23454,3d3085f2-6098-485f-bf42-0dd376d1a535,segment,177,VDDA_5,F.Cu,0.6,"[94.3, 43.2]","[94.2, 43.3]",,False
exact_duplicate,c95143a6-44d7-4f05-99be-9931f3cc1986,14daa8a6-6a4b-4641-8fed-dffe44086b79,segment,116,MIL,In2.Cu,1.2,"[22.5, 147.7]","[22.6, 147.7]",,False
exact_duplicate,c9bb9322-76ef-4e49-b413-68c51c9a6728,5752f31f-c71a-4bcb-9eae-a1304da9e8c9,segment,170,TRANS_EPC,B.Cu,1.2,"[79.3, 40.1]","[79.1, 40.1]",,False
exact_duplicate,c9d6b903-da33-47a7-8372-737ea30119ce,7584b98f-329b-41fa-b27c-4d3dde37384b,segment,87,INJECTOR_1,In1.Cu,2.0,"[34.3, 129.1]","[34.2, 129.2]",,False
exact_duplicate,cbb6cb1f-d727-49b4-8bba-1849b3c3b1b7,577f2f9f-eb0e-4393-b0d9-629f81315eb1,segment,180,VREF_FILTER,In3.Cu,0.6,"[84.7, 55.0]","[84.7, 55.1]",,False
exact_duplicate,cc44fb48-69e1-4dc1-997c-0b142fb8b9f6,075c8774-284a-4954-a6fc-59e99e006049,segment,177,VDDA_5,F.Cu,0.6,"[94.5, 43.1]","[94.4, 43.2]",,False
exact_duplicate,cc780aab-b173-4c98-9bed-4c8765ec1dff,696c87c7-cc24-48b4-aad9-5818c4f9060b,segment,177,VDDA_5,F.Cu,0.6,"[94.4, 43.2]","[94.3, 43.2]",,False
exact_duplicate,cd757584-196d-4105-bbba-57023f26e993,89303f01-f09d-4132-b001-d94647e14172,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.7, 126.0]","[31.7, 126.1]",,False
exact_duplicate,cd8c06e9-6c41-4c67-9740-843722ac5e68,b43df8b4-9cf3-4de8-bdf4-328e22dc3339,segment,170,TRANS_EPC,B.Cu,1.2,"[77.7, 40.5]","[78.0, 40.2]",,False
exact_duplicate,cdafdfb0-afc5-4170-8c23-8a69d7cab167,22af850f-c97e-433b-a77b-971856424596,segment,176,VCC_5,F.Cu,0.25,"[110.6075, 32.45]","[110.6, 32.4]",,False
exact_duplicate,ce05bd54-9195-4fca-833c-f3c66a5a9ccf,50d28e7f-bbcb-4cdf-a8da-4bdc9e11dfa2,segment,180,VREF_FILTER,In3.Cu,0.6,"[84.8, 54.2]","[84.7, 54.3]",,False
exact_duplicate,cf1ac50f-e833-4209-9b6e-6a1fd4679d70,3fbbd95a-f72c-4d17-8474-dbc8e23478fc,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.7, 123.8]","[31.6, 123.9]",,False
exact_duplicate,d023a70f-4c5a-4207-b317-161da3992b64,14fcf2fb-baa0-4700-976f-a5e5c0b813d2,segment,87,INJECTOR_1,In1.Cu,2.0,"[32.9, 128.9]","[33.0, 129.0]",,False
exact_duplicate,d033b8bc-1fdc-4f5e-9443-5c1d44effcec,c9a031a4-8eb2-4f51-9d28-c076908b39f0,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.8, 126.3]","[31.9, 126.4]",,False
exact_duplicate,d0d4ee75-240d-4d29-967d-16d117859c01,30f21501-4abb-408a-9257-ed048ec30203,segment,180,VREF_FILTER,In3.Cu,0.6,"[84.7, 55.1]","[84.8, 55.2]",,False
exact_duplicate,d106c523-350c-42b7-91e1-14d200318d77,3cec1306-5c72-4ac8-824f-86438a2e9ee6,segment,83,IAC,F.Cu,1.2,"[37.7, 38.5]","[37.9, 38.3]",,False
exact_duplicate,d117fac1-6deb-4f23-b040-dc298203b5a2,1a07f855-7d35-4e6c-83dd-33aa58e2909e,segment,94,INJECTOR_8,In3.Cu,2.0,"[49.8, 71.6]","[49.8, 69.9]",,False
exact_duplicate,d1ec509b-fe82-4780-be73-2df5ae042c8f,a6a923f1-a698-4577-aded-0e2ac06b55bc,segment,1,ACTUATOR_12,F.Cu,4.0,"[44.5, 121.2]","[44.5, 119.7]",,False
exact_duplicate,d46c0337-8160-4496-94e0-b3f3885de536,99e34bab-14b9-41cd-8bcd-464ca4f10ede,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.9, 126.4]","[31.9, 126.5]",,False
exact_duplicate,d6d15eb6-d8d8-4814-88f3-93f835c7e7b6,d4478c48-7c20-40cf-be37-b5e3e8366d46,segment,87,INJECTOR_1,In1.Cu,2.0,"[33.2, 129.1]","[33.1, 129.0]",,False
exact_duplicate,d6e4a680-ac1d-45b6-81b9-37e7867990c8,b0db4a8b-5f84-40d9-b572-a2de089c2c08,segment,170,TRANS_EPC,B.Cu,1.2,"[77.4, 40.7]","[77.6, 40.5]",,False
exact_duplicate,d7bde6a0-c01f-44c5-abb8-d0b5a0744f17,386def47-0cc7-460a-b658-b226db6efdd4,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[65.3, 15.3]","[65.4, 15.4]",,False
exact_duplicate,d7f9bf6a-854e-4b23-847e-020ee2a90c55,93aab421-18ea-431e-b467-2291d43701c6,segment,176,VCC_5,B.Cu,0.6,"[76.9, 105.0]","[76.8, 105.1]",,False
